Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Symbol,Sector
2021-01-04,53.220001220703125,53.470001220703125,51.93000030517578,52.7599983215332,50.404945373535156,8650000,0.0,SCHW,finance
2021-01-05,51.959999084472656,52.95000076293945,51.939998626708984,52.77000045776367,50.41451644897461,7995700,0.0,SCHW,finance
2021-01-06,54.369998931884766,57.83000183105469,54.040000915527344,57.40999984741211,54.84739303588867,16551800,0.0,SCHW,finance
2021-01-07,57.88999938964844,59.439998626708984,57.630001068115234,59.060001373291016,56.42374801635742,10949600,0.0,SCHW,finance
2021-01-08,58.84000015258789,59.58000183105469,58.22999954223633,58.97999954223633,56.34730911254883,9165300,0.0,SCHW,finance
2021-01-11,58.849998474121094,60.349998474121094,58.130001068115234,60.25,57.56062316894531,8766100,0.0,SCHW,finance
2021-01-12,60.79999923706055,62.040000915527344,60.439998626708984,61.20000076293945,58.468223571777344,12194500,0.0,SCHW,finance
2021-01-13,60.58000183105469,61.369998931884766,59.189998626708984,59.5099983215332,56.85365295410156,17171700,0.0,SCHW,finance
2021-01-14,59.61000061035156,59.790000915527344,59.130001068115234,59.33000183105469,56.68169021606445,9165800,0.0,SCHW,finance
2021-01-15,58.560001373291016,59.16999816894531,57.959999084472656,58.75,56.127586364746094,9952400,0.0,SCHW,finance
2021-01-19,59.2400016784668,59.59000015258789,57.83000183105469,59.22999954223633,56.586151123046875,8277200,0.0,SCHW,finance
2021-01-20,59.349998474121094,59.45000076293945,58.11000061035156,58.61000061035156,55.993831634521484,9798200,0.0,SCHW,finance
2021-01-21,58.86000061035156,58.970001220703125,58.34000015258789,58.70000076293945,56.07981491088867,6367000,0.0,SCHW,finance
2021-01-22,58.15999984741211,58.91999816894531,57.93000030517578,58.400001525878906,55.79320526123047,5472400,0.0,SCHW,finance
2021-01-25,57.27000045776367,58.18000030517578,56.599998474121094,57.08000183105469,54.53212356567383,7888800,0.0,SCHW,finance
2021-01-26,57.4900016784668,57.689998626708984,56.119998931884766,56.209999084472656,53.700958251953125,6786900,0.0,SCHW,finance
2021-01-27,55.40999984741211,55.40999984741211,53.15999984741211,53.290000915527344,50.91130065917969,10579800,0.0,SCHW,finance
2021-01-28,53.650001525878906,55.41999816894531,53.56999969482422,53.7400016784668,51.341217041015625,11278600,0.0,SCHW,finance
2021-01-29,53.2599983215332,53.290000915527344,50.77000045776367,51.540000915527344,49.23941421508789,17772200,0.0,SCHW,finance
2021-02-01,52.130001068115234,53.720001220703125,51.970001220703125,53.369998931884766,50.98772430419922,8601100,0.0,SCHW,finance
2021-02-02,54.130001068115234,55.34000015258789,54.11000061035156,54.540000915527344,52.10550308227539,8720500,0.0,SCHW,finance
2021-02-03,54.68000030517578,55.31999969482422,52.959999084472656,53.459999084472656,51.07370376586914,10230400,0.0,SCHW,finance
2021-02-04,53.869998931884766,55.20000076293945,53.630001068115234,55.20000076293945,52.73604202270508,7890900,0.0,SCHW,finance
2021-02-05,55.689998626708984,56.38999938964844,55.290000915527344,55.7400016784668,53.25193786621094,7994500,0.0,SCHW,finance
2021-02-08,55.97999954223633,56.11000061035156,55.220001220703125,55.849998474121094,53.35702896118164,5377100,0.0,SCHW,finance
2021-02-09,55.47999954223633,56.529998779296875,54.97999954223633,56.27000045776367,53.75828170776367,5541200,0.0,SCHW,finance
2021-02-10,56.599998474121094,56.88999938964844,55.369998931884766,55.70000076293945,53.213722229003906,7549100,0.0,SCHW,finance
2021-02-11,55.650001525878906,56.369998931884766,55.40999984741211,55.93000030517578,53.606693267822266,6040300,0.0,SCHW,finance
2021-02-12,55.93000030517578,58.2599983215332,55.810001373291016,58.189998626708984,55.7728157043457,8138100,0.0,SCHW,finance
2021-02-16,58.93000030517578,61.349998474121094,58.63999938964844,60.95000076293945,58.41816329956055,11008900,0.0,SCHW,finance
2021-02-17,60.61000061035156,61.38999938964844,60.36000061035156,61.29999923706055,58.75362777709961,8785800,0.0,SCHW,finance
2021-02-18,60.9900016784668,62.22999954223633,60.63999938964844,61.93000030517578,59.35744857788086,6157700,0.0,SCHW,finance
2021-02-19,62.439998626708984,63.45000076293945,61.13999938964844,61.90999984741211,59.338287353515625,8421300,0.0,SCHW,finance
2021-02-22,62.650001525878906,63.09000015258789,62.08000183105469,62.95000076293945,60.335079193115234,8049400,0.0,SCHW,finance
2021-02-23,63.45000076293945,63.45000076293945,61.439998626708984,62.66999816894531,60.066715240478516,8613200,0.0,SCHW,finance
2021-02-24,63.0,65.43000030517578,62.4900016784668,64.44000244140625,61.7631950378418,11535200,0.0,SCHW,finance
2021-02-25,64.3499984741211,65.23999786376953,62.970001220703125,63.099998474121094,60.47885513305664,10584100,0.0,SCHW,finance
2021-02-26,62.90999984741211,63.279998779296875,61.25,61.720001220703125,59.15617370605469,9543600,0.0,SCHW,finance
2021-03-01,62.59000015258789,64.93000030517578,62.56999969482422,64.0999984741211,61.43731689453125,5863700,0.0,SCHW,finance
2021-03-02,63.709999084472656,64.77999877929688,63.43000030517578,63.79999923706055,61.149776458740234,6079400,0.0,SCHW,finance
2021-03-03,64.26000213623047,66.2300033569336,63.90999984741211,64.95999908447266,62.2615852355957,8831100,0.0,SCHW,finance
2021-03-04,64.81999969482422,65.16999816894531,63.029998779296875,64.7699966430664,62.07947540283203,11204300,0.0,SCHW,finance
2021-03-05,66.0999984741211,66.61000061035156,63.040000915527344,65.0199966430664,62.319087982177734,10204000,0.0,SCHW,finance
2021-03-08,65.31999969482422,65.62999725341797,64.33999633789062,64.45999908447266,61.7823600769043,8663200,0.0,SCHW,finance
2021-03-09,64.02999877929688,65.04000091552734,62.33000183105469,63.75,61.10185241699219,9761700,0.0,SCHW,finance
2021-03-10,64.16000366210938,65.06999969482422,63.869998931884766,65.02999877929688,62.32868194580078,8930500,0.0,SCHW,finance
2021-03-11,64.80000305175781,66.86000061035156,64.55000305175781,66.41000366210938,63.6513671875,9233600,0.0,SCHW,finance
