Date,Symbol,Sector,Buy Price,Buy Volume,Sell Price,Sell Volume,Dividends,Stock Shares,Investment Total,Returns
2021-01-04,MRK,healthcare,76.51365456601974,11.323343622643328,0.0,0.0,0.0,11.323343622643328,866.3904024752742,8.359489937900435
2021-02-02,BMY,healthcare,63.325251833111444,6.519969623039746,0.0,0.0,0.0,6.519969623039746,1279.2691207985029,-28.619383275202836
2021-03-01,NKE,consumer_goods,138.18028291229072,14.974864637952507,0.0,0.0,0.0,14.974864637952507,3348.5001530440386,-103.33893310827352
2021-03-29,F,consumer_goods,12.132693432967217,7.679832192795632,0.0,0.0,0.0,7.679832192795632,3441.6772026558606,-85.62870699868063
2021-05-03,GILD,healthcare,65.82897381018928,14.586147370972272,0.0,0.0,0.0,14.586147370972272,4401.868315931154,-125.84701929213225
2021-06-03,MRK,healthcare,73.86794160034718,4.793323987219015,0.0,0.0,0.0,16.116667609862343,4755.941292290592,-40.5990765080378
2021-07-06,ABBV,healthcare,115.47490189723091,6.936758688634392,0.0,0.0,0.0,6.936758688634392,5556.9628213454125,446.0787353262722
2021-08-09,BUD,consumer_goods,60.75507217266709,11.7216800278236,0.0,0.0,0.0,11.7216800278236,6269.114337420746,565.6806962791097
2021-09-09,MDT,healthcare,134.86277119089146,5.830141757297584,0.0,0.0,0.0,5.830141757297584,7055.3834112456325,323.8643186032732
2021-10-08,WFC,finance,48.23660649700073,11.540979830382334,0.0,0.0,0.0,11.540979830382334,7612.0811139136085,152.45696169001712
2021-11-05,GILD,healthcare,66.16751564958327,4.8921860701517845,0.0,0.0,0.0,19.478333441124057,7935.7849122710495,689.654660508174
2021-12-06,REGN,healthcare,632.7371163044361,13.496299869258928,0.0,0.0,0.0,13.496299869258928,16475.39477232588,278.70773062242733
2022-01-05,AMGN,healthcare,225.97814104077653,8.222836657243034,0.0,0.0,0.0,8.222836657243034,18333.576114211613,141.7925603751537
2022-02-03,AMGN,healthcare,226.26036815720263,3.475968423794175,0.0,0.0,0.0,11.698805081037209,19120.050009482093,103.9237797174319
2022-03-02,MRK,healthcare,76.37898827619765,13.184764882643108,0.0,0.0,0.0,29.30143249250545,20127.089011877913,-117.02113243792701
2022-03-31,BAC,finance,42.06021787436786,12.539531552152466,42.32257657652238,9.117132616929673,0.0,3.422398935222793,20271.035856746388,1345.3768483618405
2022-05-02,AXP,finance,173.62857955791335,5.199179728079779,0.0,0.0,0.0,5.199179728079779,21173.762047799177,366.21108611570526
2022-06-01,MRK,healthcare,90.66799048115698,13.811776081658605,0.0,0.0,0.0,43.113208574164055,22426.048030098867,729.6055065531182
2022-07-05,MMM,consumer_goods,107.73012689308149,4.889320739588777,0.0,0.0,0.0,4.889320739588777,22952.77517379574,-603.5477251202137
2022-08-05,REGN,healthcare,617.1150810835359,13.110749135007032,0.0,0.0,0.0,26.60704900426596,31043.616189311502,-416.8180875326361
2022-09-06,BUD,consumer_goods,48.48345409302442,7.886977279371892,0.0,0.0,0.0,19.608657307195493,31426.004090168655,-1960.3095105346401
2022-10-04,AMGN,healthcare,234.00769960559043,5.9673941226641,0.0,0.0,0.0,17.66619920370131,32822.420261453204,2201.680923170279
2022-11-07,AMGN,healthcare,276.32812306154216,4.154360384799983,276.7072133297717,13.732157765518622,0.0,8.088401822982672,30175.80548817547,4476.274415367541
2022-12-12,BAC,finance,32.353007041036754,4.47502850278071,0.0,0.0,0.0,7.897427438003503,30320.586116834773,5269.3566707238315
2023-01-11,BUD,consumer_goods,61.64929794397544,4.801668009857796,0.0,0.0,0.0,24.41032531705329,30616.605578602554,4615.488378593327
2023-02-09,AMGN,healthcare,242.4532024564243,13.20106342103032,0.0,0.0,0.0,21.28946524401299,33817.245680861706,4936.77238987817
2023-03-14,ABBV,healthcare,152.8036081557414,6.888401258028383,0.0,0.0,0.0,13.825159946662776,34869.818247512994,4942.43709871875
2023-04-17,AMZN,consumer_goods,102.7705242251726,14.47836883946291,0.0,0.0,0.0,14.47836883946291,36357.767803070004,7552.668111236846
2023-05-22,INTC,tech,30.094440642161445,11.235678942287521,0.0,0.0,0.0,11.235678942287521,36695.89927607306,4591.249392721424
2023-06-23,MDT,healthcare,87.08544348833415,14.66841099817426,0.0,0.0,0.0,20.49855275547184,37973.30435311823,5512.917565283649
2023-07-24,C,finance,47.07404399166595,14.217499229132589,0.0,0.0,0.0,14.217499229132589,38642.57953728189,4313.467657662695
2023-08-21,BMY,healthcare,62.374728889163386,7.566122474051252,0.0,0.0,0.0,14.086092097090997,39114.51437534305,7615.957842740347
2023-09-18,SCHW,finance,58.04304011387258,7.8084259023601055,0.0,0.0,0.0,7.8084259023601055,39567.73915321994,7159.41048161417
2023-10-18,V,finance,240.66732535514922,5.080826279521666,0.0,0.0,0.0,5.080826279521666,40790.528024506566,6759.506785916521
2023-11-14,BAC,finance,28.505967630079695,7.235611811631378,0.0,0.0,0.0,15.13303924963488,40996.786140592754,5995.3287055501205
2023-12-11,WFC,finance,46.05893260796224,8.78820979016516,0.0,0.0,0.0,20.329189620547496,41401.56170306261,8670.770147869727
